Country,GDP per capita (USD),Life satisfaction
Argentina,23550.1,6.574
Afghanistan,21023845,3.575
Albania,11361269,4959
Armenia,11019839,4.35
Austria,52932.9,7.2
Bahrain,48201156,5.96
Bhutan,9574029,5253
Bolivia,7730638,5.89
Bosnia and Herzegovina,12066592,4949
Burundi,8862354,2905
Cambodia,3364278,3819
Cameroon,34707856,4252
Canada,47564.61,7427
Chad,18662661,3667
Chile,24173064,6.67
China,11851404,5.14
Colombia,13852242,6477
Comoros,29963794,3956
Congo,55528447,3989
Costa Rica,18669096,7226
Ecuador,12078475,5975
Egypt,10353667,4194
El Salvador,7990442,6.13
Georgia,122546455,4297
Germany,50845527,6.75
Ghana,4794147,4633
Greece,28129.96,4857
Guatemala,79393745,6123
Guinea,20616948,3656
Honduras,5177415,4788
Hong Kong,56359.3,5474
Hungary,26485412,4.8
Iceland,50450742,7561
India,5116629,4565
Indonesia,9801166,5399
Iran,13038555,4686
Iraq,9818652,4677
Ireland,57668754,6.94
Israel,37204504,7278
Jamaica,9438477,5709
Japan,39739543,5987
Jordan,10284.67,5192
Kazakhstan,24355756,5855
Kenya,39805854,4419
Nepal,32174485,4514
Netherlands,52186996,7378
New Zealand,40432242,7286
Nicaragua,5443236,5828
Niger,11268054,3845
Nigeria,55163857,5268
