Country,GDP per capita (USD),Life satisfaction
Argentina,23550.1,6.574
Afghanistan,21023845,3.575
Albania,11361269,4.959
Armenia,11019839,4.35
Austria,52932.9,7.2
Bahrain,48201156,5.96
Bhutan,9574029,5.253
Bolivia,7730638,5.89
Bosnia and Herzegovina,12066592,4.949
Burundi,8862354,2.905
Cambodia,3364278,3.819
Cameroon,34707856,4.252
Canada,47564.61,7.427
Chad,18662661,3.667
Chile,24173064,6.67
China,11851404,5.14
Colombia,13852242,6.477
Comoros,29963794,3.956
Congo,55528447,3.989
Costa Rica,18669096,7.226
Ecuador,12078475,5.975
Egypt,10353667,4.194
El Salvador,7990442,6.13
Georgia,122546455,4.297
Germany,50845527,6.75
Ghana,4794147,4.633
Greece,28129.96,4.857
Guatemala,79393745,6.123
Guinea,20616948,3.656
Honduras,5177415,4.788
Hong Kong,56359.3,5.474
Hungary,26485412,4.8
Iceland,50450742,7.561
India,5116629,4.565
Indonesia,9801166,5.399
Iran,13038555,4.686
Iraq,9818652,4.677
Ireland,57668754,6.94
Israel,37204504,7.278
Jamaica,9438477,5.709
Japan,39739543,5.987
Jordan,10284.67,5.192
Kazakhstan,24355756,5.855
Kenya,39805854,4.419
Nepal,32174485,4.514
Netherlands,52186996,7.378
New Zealand,40432242,7.286
Nicaragua,5443236,5.828
Niger,11268054,3.845
Nigeria,55163857,5.268
